Latitude, Longitude, Data Value
83, -44, -999
83, -43, -999
83, -42, -999
83, -41, -999
83, -40, -1.7998
83, -39, -1.80054
83, -38, -1.79871
83, -37, -999
83, -36, -999
83, -35, -999
83, -34, -1.79586
83, -33, -1.7995
83, -32, -1.8018
83, -31, -999
83, -30, -999
83, -29, -999
83, -28, -999
83, -27, -999
83, -26, -999
83, -25, -999
83, -24, -1.71419
83, -23, -1.65857
83, -22, -1.62071
83, -21, -1.58079
83, -20, -1.54608
83, -19, -1.52948
83, -18, -1.53427
83, -17, -1.56772
83, -16, -1.60156
83, -15, -1.62945
83, -14, -1.65397
83, -13, -1.67972
83, -12, -1.71671
83, -11, -1.75153
83, -10, -1.77233
83, -9, -1.78087
83, -8, -1.78378
83, -7, -1.78534
83, -6, -1.78506
83, -5, -1.78178
83, -4, -1.77624
83, -3, -1.76983
83, -2, -1.76545
83, -1, -1.76539
83, 0, -1.76742
83, 1, -1.76561
83, 2, -1.75904
83, 3, -1.74912
83, 4, -1.74235
83, 5, -1.74205
83, 6, -1.74586
83, 7, -1.754
83, 8, -1.77071
83, 9, -1.78331
83, 10, -1.78816
83, 11, -1.7886
83, 12, -1.78879
83, 13, -1.78928
83, 14, -1.78928
83, 15, -1.78326
83, 16, -1.76008
83, 17, -1.72584
83, 18, -1.69855
83, 19, -1.69652
82, 20, -1.10888
82, 21, -1.05614
82, 22, -1.01334
82, 23, -0.968356
82, 24, -0.978466
82, 25, -0.929534
82, 26, -0.860959
82, 27, -0.798219
82, 28, -0.778466
82, 29, -0.754494
82, 30, -0.714986
82, 31, -0.639233
82, 32, -0.537891
82, 33, -0.485453
82, 34, -0.440822
82, 35, -0.383753
82, 36, -0.356712
82, 37, -0.291836
82, 38, -0.300302
82, 39, -0.347973
82, 40, -0.383891
82, 41, -0.420548
82, 42, -0.426192
82, 43, -0.492329
82, 44, -0.559069
82, 45, -0.621069
82, 46, -0.691782
82, 47, -0.749672
82, 48, -0.780027
82, 49, -0.822028
82, 50, -0.791863
82, 51, -0.763288
82, 52, -0.72137
82, 53, -0.724192
82, 54, -0.759589
82, 55, -0.755261
82, 56, -0.741342
82, 57, -0.748603
82, 58, -0.774439
82, 59, -0.792521
82, 60, -0.780959
82, 61, -0.756055
82, 62, -0.782959
82, 63, -0.928328
82, 64, -1.03436
